'from' | In regular: 172 | In spam: 192
'clapped' | In regular: 2 | In spam: 0
'cheered' | In regular: 2 | In spam: 0
'shenzhou' | In regular: 4 | In spam: 0
'thousand' | In regular: 2 | In spam: 1
'miles' | In regular: 2 | In spam: 1
'away' | In regular: 2 | In spam: 9
'capital' | In regular: 2 | In spam: 4
'pride' | In regular: 2 | In spam: 0
'mixed' | In regular: 2 | In spam: 9
'relief' | In regular: 2 | In spam: 1
'state' | In regular: 5 | In spam: 8
'television' | In regular: 2 | In spam: 5
'broadcast' | In regular: 2 | In spam: 1
'pictures' | In regular: 1 | In spam: 4
'safe' | In regular: 4 | In spam: 1
'interval' | In regular: 2 | In spam: 0
'declaration' | In regular: 2 | In spam: 0
'that' | In regular: 40 | In spam: 97
'boost' | In regular: 2 | In spam: 1
'leaders' | In regular: 2 | In spam: 2
'worlds' | In regular: 7 | In spam: 1
'most' | In regular: 13 | In spam: 11
'populous' | In regular: 2 | In spam: 0
'president' | In regular: 4 | In spam: 7
'witnessed' | In regular: 2 | In spam: 0
'liftoff' | In regular: 2 | In spam: 0
'spoke' | In regular: 2 | In spam: 0
'glory' | In regular: 2 | In spam: 0
'great' | In regular: 5 | In spam: 15
'economists' | In regular: 1 | In spam: 0
'played' | In regular: 2 | In spam: 0
'down' | In regular: 6 | In spam: 14
'implications' | In regular: 2 | In spam: 0
'economic' | In regular: 2 | In spam: 0
'benefit' | In regular: 4 | In spam: 0
'such' | In regular: 2 | In spam: 17
'pretty' | In regular: 1 | In spam: 2
'minimal' | In regular: 2 | In spam: 0
'said' | In regular: 6 | In spam: 41
'standard' | In regular: 2 | In spam: 4
'hong' | In regular: 2 | In spam: 0
'kong' | In regular: 2 | In spam: 0
'show' | In regular: 6 | In spam: 19
'muscle' | In regular: 2 | In spam: 0
'power' | In regular: 2 | In spam: 3
'young' | In regular: 4 | In spam: 0
'earlier' | In regular: 1 | In spam: 2
'decked' | In regular: 2 | In spam: 0
'suit' | In regular: 2 | In spam: 0
'headed' | In regular: 2 | In spam: 0
'past' | In regular: 2 | In spam: 13
'rows' | In regular: 2 | In spam: 0
'beaming' | In regular: 2 | In spam: 0
'ballooncarrying' | In regular: 1 | In spam: 0
'children' | In regular: 2 | In spam: 11
'pioneers' | In regular: 4 | In spam: 0
'come' | In regular: 3 | In spam: 4
'once' | In regular: 2 | In spam: 1
'reviewed' | In regular: 2 | In spam: 0
'flight' | In regular: 6 | In spam: 1
'manual' | In regular: 2 | In spam: 0
'appeared' | In regular: 2 | In spam: 1
'composed' | In regular: 2 | In spam: 0
'ease' | In regular: 2 | In spam: 0
'nasa' | In regular: 4 | In spam: 0
'sites' | In regular: 3 | In spam: 7
'administrator' | In regular: 2 | In spam: 0
'sean' | In regular: 2 | In spam: 0
'okeefe' | In regular: 2 | In spam: 0
'described' | In regular: 5 | In spam: 0
'important' | In regular: 5 | In spam: 3
'achievement' | In regular: 2 | In spam: 0
'chinese' | In regular: 6 | In spam: 0
'people' | In regular: 2 | In spam: 9
'have' | In regular: 24 | In spam: 77
'distinguished' | In regular: 2 | In spam: 0
'history' | In regular: 2 | In spam: 11
'exploration' | In regular: 2 | In spam: 0
'wishes' | In regular: 2 | In spam: 1
'continued' | In regular: 2 | In spam: 1
'human' | In regular: 12 | In spam: 3
'japan' | In regular: 1 | In spam: 0
'added' | In regular: 2 | In spam: 0
'praise' | In regular: 2 | In spam: 0
'offer' | In regular: 4 | In spam: 5
'congratulations' | In regular: 3 | In spam: 0
'success' | In regular: 5 | In spam: 2
'bottom' | In regular: 2 | In spam: 1
'heart' | In regular: 2 | In spam: 3
'chief' | In regular: 2 | In spam: 2
'cabinet' | In regular: 2 | In spam: 0
'secretary' | In regular: 2 | In spam: 0
'yasuo' | In regular: 2 | In spam: 0
'fukuda' | In regular: 1 | In spam: 0
'media' | In regular: 3 | In spam: 30
'hailed' | In regular: 2 | In spam: 0
'spacecraft' | In regular: 2 | In spam: 0
'chinas' | In regular: 6 | In spam: 0
'sophisticated' | In regular: 2 | In spam: 0
'breakthrough' | In regular: 2 | In spam: 1
'including' | In regular: 3 | In spam: 6
'faultdetection' | In regular: 2 | In spam: 0
'escape' | In regular: 1 | In spam: 10
'simply' | In regular: 1 | In spam: 4
'daily' | In regular: 2 | In spam: 8
'huang' | In regular: 2 | In spam: 0
'chunping' | In regular: 1 | In spam: 0
'commanderinchief' | In regular: 2 | In spam: 0
'spaceship' | In regular: 2 | In spam: 0
'best' | In regular: 4 | In spam: 24
'superior' | In regular: 3 | In spam: 7
'quality' | In regular: 4 | In spam: 9
'stood' | In regular: 2 | In spam: 0
'stringent' | In regular: 2 | In spam: 0
'speaking' | In regular: 1 | In spam: 0
'wednesdays' | In regular: 2 | In spam: 0
'mark' | In regular: 7 | In spam: 1
'initial' | In regular: 2 | In spam: 0
'countrys' | In regular: 2 | In spam: 0
'significant' | In regular: 4 | In spam: 1
'step' | In regular: 2 | In spam: 2
'scaling' | In regular: 2 | In spam: 0
'peak' | In regular: 2 | In spam: 0
'follows' | In regular: 3 | In spam: 0
'trail' | In regular: 2 | In spam: 0
'blazed' | In regular: 2 | In spam: 0
'russian' | In regular: 1 | In spam: 0
'cosmonaut' | In regular: 2 | In spam: 0
'yuri' | In regular: 2 | In spam: 0
'gagarin' | In regular: 2 | In spam: 0
'american' | In regular: 3 | In spam: 4
'alan' | In regular: 3 | In spam: 3
'shepard' | In regular: 2 | In spam: 0
'times' | In regular: 2 | In spam: 7
'touch' | In regular: 1 | In spam: 0
'inner' | In regular: 2 | In spam: 0
'mongolia' | In regular: 2 | In spam: 0
'lieutenant' | In regular: 2 | In spam: 0
'colonel' | In regular: 2 | In spam: 0
'peoples' | In regular: 2 | In spam: 0
'liberation' | In regular: 1 | In spam: 2
'army' | In regular: 2 | In spam: 5
'selected' | In regular: 3 | In spam: 5
'pool' | In regular: 2 | In spam: 0
'teacher' | In regular: 2 | In spam: 2
'agricultural' | In regular: 1 | In spam: 0
'raised' | In regular: 2 | In spam: 0
'suizhong' | In regular: 2 | In spam: 0
'county' | In regular: 2 | In spam: 6
'northeast' | In regular: 2 | In spam: 0
'rustbelt' | In regular: 2 | In spam: 0
'province' | In regular: 1 | In spam: 0
'proud' | In regular: 2 | In spam: 2
'brotherinlaw' | In regular: 2 | In spam: 0
'told' | In regular: 2 | In spam: 7
'before' | In regular: 3 | In spam: 17
'dont' | In regular: 4 | In spam: 17
'worry' | In regular: 2 | In spam: 3
'about' | In regular: 16 | In spam: 47
'safety' | In regular: 1 | In spam: 2
'because' | In regular: 5 | In spam: 12
'trust' | In regular: 3 | In spam: 0
'nations' | In regular: 2 | In spam: 0
'advanced' | In regular: 3 | In spam: 2
'dine' | In regular: 2 | In spam: 0
'specially' | In regular: 2 | In spam: 1
'designed' | In regular: 2 | In spam: 0
'packets' | In regular: 2 | In spam: 0
'shredded' | In regular: 2 | In spam: 0
'pork' | In regular: 2 | In spam: 0
'garlic' | In regular: 2 | In spam: 0
'eight' | In regular: 2 | In spam: 0
'treasure' | In regular: 2 | In spam: 0
'washed' | In regular: 1 | In spam: 1
'successful' | In regular: 2 | In spam: 0
'would' | In regular: 11 | In spam: 14
'crowning' | In regular: 2 | In spam: 0
'moment' | In regular: 2 | In spam: 3
'program' | In regular: 8 | In spam: 1
'launched' | In regular: 4 | In spam: 1
'left' | In regular: 3 | In spam: 40
'cold' | In regular: 2 | In spam: 0
'race' | In regular: 2 | In spam: 4
'rivalry' | In regular: 2 | In spam: 0
'moon' | In regular: 2 | In spam: 0
'east' | In regular: 4 | In spam: 3
'year' | In regular: 3 | In spam: 16
'later' | In regular: 3 | In spam: 7
'satellite' | In regular: 1 | In spam: 0
'aboard' | In regular: 2 | In spam: 0
'orbited' | In regular: 2 | In spam: 0
'blaring' | In regular: 1 | In spam: 0
'cultural' | In regular: 2 | In spam: 0
'revolution' | In regular: 2 | In spam: 0
'anthem' | In regular: 2 | In spam: 0
'tight' | In regular: 2 | In spam: 0
'veil' | In regular: 2 | In spam: 0
'secrecy' | In regular: 2 | In spam: 0
'blanketed' | In regular: 2 | In spam: 0
'meterhigh' | In regular: 2 | In spam: 0
'spur' | In regular: 2 | In spam: 0
'scientific' | In regular: 5 | In spam: 3
'programs' | In regular: 9 | In spam: 4
'emergence' | In regular: 2 | In spam: 0
'world' | In regular: 7 | In spam: 22
'stage' | In regular: 5 | In spam: 0
'marked' | In regular: 3 | In spam: 0
'active' | In regular: 4 | In spam: 2
'diplomacy' | In regular: 2 | In spam: 0
'winning' | In regular: 2 | In spam: 0
'host' | In regular: 2 | In spam: 3
'olympics' | In regular: 2 | In spam: 0
'robust' | In regular: 2 | In spam: 0
'failure' | In regular: 1 | In spam: 1
'lead' | In regular: 2 | In spam: 1
'bout' | In regular: 2 | In spam: 0
'hand' | In regular: 3 | In spam: 7
'wringing' | In regular: 2 | In spam: 0
'cast' | In regular: 3 | In spam: 0
'sharp' | In regular: 2 | In spam: 1
'spotlight' | In regular: 2 | In spam: 1
'problems' | In regular: 1 | In spam: 5
'unemployment' | In regular: 2 | In spam: 1
'disgruntled' | In regular: 2 | In spam: 0
'peasants' | In regular: 1 | In spam: 0
'growing' | In regular: 2 | In spam: 2
'between' | In regular: 8 | In spam: 3
'rich' | In regular: 2 | In spam: 0
'invented' | In regular: 2 | In spam: 0
'gunpowder' | In regular: 2 | In spam: 0
'legend' | In regular: 2 | In spam: 0
'ming' | In regular: 2 | In spam: 0
'dynasty' | In regular: 2 | In spam: 0
'named' | In regular: 2 | In spam: 1
'attempted' | In regular: 1 | In spam: 0
'strapped' | In regular: 2 | In spam: 0
'himself' | In regular: 2 | In spam: 4
'chair' | In regular: 2 | In spam: 0
'kites' | In regular: 2 | In spam: 0
'each' | In regular: 4 | In spam: 6
'servants' | In regular: 2 | In spam: 0
'gunpowderpacked' | In regular: 2 | In spam: 0
'tubes' | In regular: 1 | In spam: 0
'tied' | In regular: 2 | In spam: 0
'when' | In regular: 4 | In spam: 16
'smoke' | In regular: 2 | In spam: 0
'cleared' | In regular: 2 | In spam: 0
'apparently' | In regular: 1 | In spam: 0
'been' | In regular: 6 | In spam: 23
'obliterated' | In regular: 2 | In spam: 0
'dream' | In regular: 4 | In spam: 0
'doctype' | In regular: 1 | In spam: 2
'html' | In regular: 2 | In spam: 5
'public' | In regular: 5 | In spam: 5
'wcdtd' | In regular: 1 | In spam: 2
'meta' | In regular: 2 | In spam: 0
'contentdtexthtml' | In regular: 1 | In spam: 0
'charsetdiso' | In regular: 1 | In spam: 0
'contentdmshtml' | In regular: 1 | In spam: 2
'body' | In regular: 1 | In spam: 10
'divfont' | In regular: 66 | In spam: 0
'facedarial' | In regular: 66 | In spam: 2
'sizedchina' | In regular: 2 | In spam: 0
'sizedby' | In regular: 1 | In spam: 0
'sizedbeijing' | In regular: 1 | In spam: 0
'sizedhour' | In regular: 1 | In spam: 0
'sizedmanned' | In regular: 1 | In spam: 0
'sizedthe' | In regular: 6 | In spam: 0
'sizeddesert' | In regular: 1 | In spam: 0
